pm10,date (Europe/London)
58,2025-12-04 20:55:38.913000+00:00
60,2025-12-04 20:55:36.776000+00:00
63,2025-12-04 20:55:34.839000+00:00
60,2025-12-04 20:55:32.747000+00:00
56,2025-12-04 20:55:30.797000+00:00
56,2025-12-04 20:55:28.805000+00:00
56,2025-12-04 20:55:26.796000+00:00
55,2025-12-04 20:55:24.745000+00:00
56,2025-12-04 20:55:22.755000+00:00
57,2025-12-04 20:55:21.104000+00:00
59,2025-12-04 20:55:18.795000+00:00
56,2025-12-04 20:55:16.746000+00:00
60,2025-12-04 20:55:14.743000+00:00
55,2025-12-04 20:55:12.757000+00:00
56,2025-12-04 20:55:10.818000+00:00
53,2025-12-04 20:55:08.772000+00:00
54,2025-12-04 20:55:06.758000+00:00
58,2025-12-04 20:55:04.751000+00:00
59,2025-12-04 20:55:02.790000+00:00
53,2025-12-04 20:55:00.800000+00:00
54,2025-12-04 20:54:58.812000+00:00
50,2025-12-04 20:54:56.774000+00:00
45,2025-12-04 20:54:54.832000+00:00
43,2025-12-04 20:54:52.753000+00:00
38,2025-12-04 20:54:50.774000+00:00
33,2025-12-04 20:54:48.745000+00:00
33,2025-12-04 20:54:46.756000+00:00
27,2025-12-04 20:54:44.881000+00:00
29,2025-12-04 20:54:42.745000+00:00
29,2025-12-04 20:54:40.749000+00:00
19,2025-12-04 20:54:38.796000+00:00
0,2025-12-04 20:54:36.749000+00:00
0,2025-12-04 20:54:34.774000+00:00
0,2025-12-04 20:54:32.389000+00:00
0,2025-12-04 20:54:30.795000+00:00
0,2025-12-04 20:54:28.877000+00:00
0,2025-12-04 20:54:26.742000+00:00
0,2025-12-04 20:54:24.747000+00:00
50,2025-12-04 20:09:01.280000+00:00
50,2025-12-04 20:08:59.314000+00:00
50,2025-12-04 20:08:57.252000+00:00
50,2025-12-04 20:08:55.379000+00:00
50,2025-12-04 20:08:53.290000+00:00
50,2025-12-04 20:08:51.270000+00:00
50,2025-12-04 20:08:49.309000+00:00
50,2025-12-04 20:08:47.343000+00:00
50,2025-12-04 20:08:45.256000+00:00
50,2025-12-04 20:08:43.248000+00:00
50,2025-12-04 20:08:41.310000+00:00
50,2025-12-04 20:08:39.297000+00:00
50,2025-12-04 20:08:37.276000+00:00
50,2025-12-04 20:08:35.251000+00:00
50,2025-12-04 20:08:33.272000+00:00
50,2025-12-04 20:08:31.251000+00:00
50,2025-12-04 20:08:29.247000+00:00
